date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster
2020-01-25,Malaysia,4,4,0,4,0
2020-01-26,Malaysia,0,0,0,4,0
2020-01-27,Malaysia,0,0,0,4,0
2020-01-28,Malaysia,0,0,0,4,0
2020-01-29,Malaysia,3,3,0,7,0
2020-01-30,Malaysia,1,1,0,8,0
2020-01-31,Malaysia,0,0,0,8,0
2020-02-01,Malaysia,0,0,0,8,0
2020-02-02,Malaysia,0,0,0,8,0
2020-02-03,Malaysia,0,0,0,8,0
2020-02-04,Malaysia,2,2,0,10,0
2020-02-05,Malaysia,2,2,1,11,0
2020-02-06,Malaysia,2,1,0,13,0
2020-02-07,Malaysia,1,1,0,14,0
2020-02-08,Malaysia,1,1,1,14,0
2020-02-09,Malaysia,1,0,1,14,0
2020-02-10,Malaysia,1,1,0,15,0
2020-02-11,Malaysia,0,0,0,15,0
2020-02-12,Malaysia,0,0,0,15,0
2020-02-13,Malaysia,0,0,0,15,0
2020-02-14,Malaysia,1,1,4,12,0
2020-02-15,Malaysia,3,3,1,14,0
2020-02-16,Malaysia,0,0,0,14,0
2020-02-17,Malaysia,0,0,3,11,0
2020-02-18,Malaysia,0,0,2,9,0
2020-02-19,Malaysia,0,0,4,5,0
2020-02-20,Malaysia,0,0,0,5,0
2020-02-21,Malaysia,0,0,0,5,0
2020-02-22,Malaysia,0,0,1,4,0
2020-02-23,Malaysia,0,0,0,4,0
2020-02-24,Malaysia,0,0,2,2,0
2020-02-25,Malaysia,0,0,0,2,0
2020-02-26,Malaysia,0,0,0,2,0
2020-02-27,Malaysia,1,1,2,1,0
2020-02-28,Malaysia,2,2,0,3,0
2020-02-29,Malaysia,0,0,0,3,0
2020-03-01,Malaysia,4,1,0,7,0
2020-03-02,Malaysia,0,0,0,7,0
2020-03-03,Malaysia,7,1,0,14,0
2020-03-04,Malaysia,14,0,1,27,0
2020-03-05,Malaysia,5,0,0,32,0
2020-03-06,Malaysia,28,1,0,60,0
2020-03-07,Malaysia,10,2,1,69,0
2020-03-08,Malaysia,6,0,1,74,0
2020-03-09,Malaysia,18,2,1,91,0
2020-03-10,Malaysia,12,0,0,103,0
2020-03-11,Malaysia,20,3,1,122,2
2020-03-12,Malaysia,9,1,6,125,4
2020-03-13,Malaysia,39,1,0,164,34
2020-03-14,Malaysia,41,1,4,201,35
2020-03-15,Malaysia,190,2,5,386,175
2020-03-16,Malaysia,125,6,0,511,108
2020-03-17,Malaysia,120,3,7,622,109
2020-03-18,Malaysia,117,8,11,728,96
2020-03-19,Malaysia,110,5,15,823,85
2020-03-20,Malaysia,130,6,12,940,111
2020-03-21,Malaysia,153,11,27,1062,109
2020-03-22,Malaysia,123,21,25,1156,86
2020-03-23,Malaysia,212,29,20,1343,159
2020-03-24,Malaysia,106,19,24,1423,69
2020-03-25,Malaysia,172,35,16,1576,114
2020-03-26,Malaysia,235,27,16,1790,154
2020-03-27,Malaysia,130,19,44,1874,68
2020-03-28,Malaysia,159,22,61,1966,102
2020-03-29,Malaysia,150,17,68,2043,93
2020-03-30,Malaysia,156,16,90,2105,105
2020-03-31,Malaysia,140,17,58,2182,80
2020-04-01,Malaysia,142,15,108,2214,70
2020-04-02,Malaysia,208,36,122,2298,99
2020-04-03,Malaysia,217,21,60,2450,129
2020-04-04,Malaysia,150,17,88,2509,109
2020-04-05,Malaysia,179,21,90,2596,95
2020-04-06,Malaysia,131,19,236,2489,80
2020-04-07,Malaysia,170,19,80,2578,77
2020-04-08,Malaysia,156,20,166,2567,61
2020-04-09,Malaysia,109,20,121,2553,53
2020-04-10,Malaysia,118,20,222,2446,56
2020-04-11,Malaysia,184,10,165,2462,114
2020-04-12,Malaysia,153,14,113,2497,86
2020-04-13,Malaysia,134,8,168,2462,69
2020-04-14,Malaysia,170,12,202,2427,115
2020-04-15,Malaysia,85,4,169,2341,51
2020-04-16,Malaysia,110,3,119,2330,49
2020-04-17,Malaysia,69,6,201,2197,37
2020-04-18,Malaysia,54,6,135,2116,36
2020-04-19,Malaysia,84,48,95,2104,17
2020-04-20,Malaysia,36,13,98,2041,5
2020-04-21,Malaysia,57,18,54,2042,15
2020-04-22,Malaysia,50,5,103,1987,24
2020-04-23,Malaysia,71,20,90,1967,42
2020-04-24,Malaysia,88,15,121,1933,67
2020-04-25,Malaysia,51,4,99,1883,40
2020-04-26,Malaysia,38,5,100,1821,25
2020-04-27,Malaysia,40,5,95,1765,17
2020-04-28,Malaysia,31,10,75,1720,7
2020-04-29,Malaysia,94,72,55,1758,13
2020-04-30,Malaysia,57,26,84,1729,8
2020-05-01,Malaysia,69,12,39,1759,5
2020-05-02,Malaysia,105,11,116,1747,53
2020-05-03,Malaysia,122,52,87,1781,21
2020-05-04,Malaysia,55,7,71,1765,27
2020-05-05,Malaysia,30,1,83,1710,22
2020-05-06,Malaysia,45,1,135,1620,28
2020-05-07,Malaysia,39,1,74,1584,27
2020-05-08,Malaysia,68,4,88,1564,57
2020-05-09,Malaysia,54,1,65,1552,31
2020-05-10,Malaysia,67,0,96,1522,47
2020-05-11,Malaysia,70,13,88,1504,3
2020-05-12,Malaysia,16,3,110,1409,2
2020-05-13,Malaysia,37,4,58,1386,25
2020-05-14,Malaysia,40,0,70,1356,5
2020-05-15,Malaysia,36,1,88,1304,14
